"household_id","household_id2","ea_id","ea_id2","saq01","rural","pw_w3","adulteq","hh_size","no_conv","no_cons","food_cons_ann","nonfood_cons_ann","educ_cons_ann","total_cons_ann","price_index_hce","nom_totcons_aeq","cons_quint"
"01010101601002","010101088801601002","01010101601","010101088801601",1,1,2897.15502929688,0.740000009536743,1,0,0,1970.80004882813,1013,0,2983.80004882813,1.03400003910065,4032.162109375,2
"01010101601017","010101088801601017","01010101601","010101088801601",1,1,2897.15502929688,7.21000003814697,9,0,0,7883.2001953125,5337,358,13578.2001953125,1.03400003910065,1883.24548339844,1
"01010101601034","010101088801601034","01010101601","010101088801601",1,1,2897.15502929688,0.740000009536743,1,0,0,8958.44445800781,322,0,9280.4443359375,1.03400003910065,12541.140625,5
"01010101601049","010101088801601049","01010101601","010101088801601",1,1,2897.15502929688,2.5,3,0,0,9594,1630,480,11704,1.03400003910065,4681.60009765625,3
"01010101601064","010101088801601064","01010101601","010101088801601",1,1,2897.15502929688,1.57999992370605,2,0,0,11702.8889160156,3272,0,14974.888671875,1.03400003910065,9477.7783203125,5
"01010101601080","010101088801601080","01010101601","010101088801601",1,1,2897.15502929688,3.12000012397766,4,0,0,9412,2372,321,12105,1.03400003910065,3879.8076171875,2
"01010101601087","010101088801601087","01010101601","010101088801601",1,1,2445.65063476563,3.74000000953674,5,0,0,6422,3880,202,10504,1.03400003910065,2808.55615234375,1
"01010101601101","010101088801601101","01010101601","010101088801601",1,1,2897.15502929688,4.03999996185303,5,0,0,30890.8889160156,6043,1050,37983.890625,1.03400003910065,9401.953125,5
"01010101601116","010101088801601116","01010101601","010101088801601",1,1,2897.15502929688,7.63000011444092,9,1,0,,,,,1.03400003910065,,
"01010101601131","010101088801601131","01010101601","010101088801601",1,1,2897.15502929688,6.23999977111816,7,0,0,39196.5021972656,18848,1600,59644.50390625,1.03400003910065,9558.4140625,5
"01010101601146","010101088801601146","01010101601","010101088801601",1,1,2897.15502929688,4.3600001335144,5,0,0,14060.2221679688,2246,220,16526.22265625,1.03400003910065,3790.41796875,2
"01010201403001","010102088801403001","01010201403","010102088801403",1,1,2492.767578125,7.89999961853027,9,1,0,,,,,1.03400003910065,,
"01010201403011","010102088801403011","01010201403","010102088801403",1,1,2492.767578125,6.38000011444092,7,0,0,30399.6821289063,2983,335,33717.6796875,1.03400003910065,5284.90283203125,3
"01010201403016","010102088801403016","01010201403","010102088801403",1,1,2492.767578125,5.6100001335144,8,0,0,41949.8168945313,4066,393,46408.81640625,1.03400003910065,8272.515625,4
"01010201403026","010102088801403026","01010201403","010102088801403",1,1,2492.767578125,1.60000002384186,2,1,0,,,,,1.03400003910065,,
"01010201403031","010102088801403031","01010201403","010102088801403",1,1,2492.767578125,7.3899998664856,9,0,0,50740.5969238281,10496,2158,63394.59765625,1.03400003910065,8578.4296875,5
"01010201403036","010102088801403036","01010201403","010102088801403",1,1,2492.767578125,6.21999979019165,7,0,0,17408.7059936523,6634,1725,25767.705078125,1.03400003910065,4142.7177734375,2
"01010201403046","010102088801403046","01010201403","010102088801403",1,1,2492.767578125,8.96000003814697,9,0,0,34374.6563720703,12978,1000,48352.65625,1.03400003910065,5396.501953125,3
"01010201403061","010102088801403061","01010201403","010102088801403",1,1,2492.767578125,8.42000007629395,9,0,0,27182.8204956055,18128,6166,51476.8203125,1.03400003910065,6113.63671875,4
"01010201403091","010102088801403091","01010201403","010102088801403",1,1,2492.767578125,7.03999996185303,9,0,0,33339.9948730469,10478,175,43992.99609375,1.03400003910065,6249.00537109375,4
"01010201403106","010102088801403106","01010201403","010102088801403",1,1,2492.767578125,3.6800000667572,5,0,0,9084.73693847656,5334,20,14438.7373046875,1.03400003910065,3923.56982421875,2
"01010201403121","010102088801403121","01010201403","010102088801403",1,1,2492.767578125,5.31999969482422,6,0,0,10287.0249023438,6244,165,16696.025390625,1.03400003910065,3138.35083007813,2
"01010201403136","010102088801403136","01010201403","010102088801403",1,1,2492.767578125,1.36000001430511,2,0,0,7739.14038085938,2042,0,9781.140625,1.03400003910065,7192.01513671875,4
"01010300106004","010103010100106004","01010300106","010103010100106",1,2,1352.4267578125,2.38000011444092,3,0,0,4199,2250,0,6449,1.03400003910065,2709.66381835938,1
"01010300106016","010103010100106016","01010300106","010103010100106",1,2,1352.4267578125,3.29999995231628,4,0,0,3991,7616,260,11867,1.03400003910065,3596.060546875,2
"01010300106040","010103010100106040","01010300106","010103010100106",1,2,1352.4267578125,2.34000015258789,3,0,0,17849,4758,0,22607,1.03400003910065,9661.1103515625,5
"01010300106052","010103010100106052","01010300106","010103010100106",1,2,1352.4267578125,3.22000002861023,4,0,0,15405,4198,0,19603,1.03400003910065,6087.88818359375,4
"01010300106064","010103010100106064","01010300106","010103010100106",1,2,1352.4267578125,3.65999984741211,4,0,0,23738.5205078125,10806,513,35057.51953125,1.03400003910065,9578.5576171875,5
"01010300106076","010103010100106076","01010300106","010103010100106",1,2,1352.4267578125,3.46000003814697,4,0,0,3705,1891,264,5860,1.03400003910065,1693.6416015625,1
"01010300106088","010103010100106088","01010300106","010103010100106",1,2,1352.4267578125,3.57999992370605,4,0,0,14053,4808,926,19787,1.03400003910065,5527.09521484375,3
"01010300106100","010103010100106100","01010300106","010103010100106",1,2,1352.4267578125,4.65000009536743,6,0,0,20449,10136,1793,32378,1.03400003910065,6963.0107421875,4
"01010300106112","010103010100106112","01010300106","010103010100106",1,2,1352.4267578125,2.72000002861023,3,0,0,18568.2184143066,1308,1020,20896.21875,1.03400003910065,7682.43310546875,4
"01010300106124","010103010100106124","01010300106","010103010100106",1,2,1352.4267578125,1.03999996185303,1,0,0,4251,1216,0,5467,1.03400003910065,5256.73095703125,3
