"household_id","ea_id","rural","pw","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","hh_s9q01","hh_s9q02_a","hh_s9q02_b","hh_s9q03","hh_s9q04","hh_s9q05","hh_s9q06","hh_s9q07","hh_s9q08","hh_s9q09","hh_s9q10","hh_s9q11","hh_s9q12","hh_s9q13","hh_s9q14","hh_s9q15","hh_s9q16","hh_s9q17","hh_s9q18","hh_s9q19","hh_s9q20","hh_s9q21"
"01010300106088","01010300106",0,768.159851074219,1,1,3,1,1,1,6,88,1,5,,3,2,4,1,7,3,2,2,7,1,4,4,2,2,2,,1,3,2
"01010300106100","01010300106",0,768.159851074219,1,1,3,1,1,1,6,100,1,5,0,3,1,6,1,5,3,2,1,7,1,5,5,2,2,2,,1,3,2
"01010300106112","01010300106",0,768.159851074219,1,1,3,1,1,1,6,112,1,40,5,1,4,6,1,1,3,2,5,7,3,1,1,2,2,2,,1,3,2
"01010300106124","01010300106",0,768.159851074219,1,1,3,1,1,1,6,124,2,0,7,3,1,5,1,1,3,2,6,7,1,10,4,2,1,2,,1,4,1
"01010300106136","01010300106",0,768.159851074219,1,1,3,1,1,1,6,136,1,20,4,1,3,6,1,5,3,2,2,7,3,2,2,2,2,1,2,1,4,2
"01010301804004","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,4,1,3,8,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,10,1,1
"01010301804019","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,19,1,50,8,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,8,1,1
"01010301804034","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,34,1,55,3,1,1,5,4,1,2,2,8,7,5,3,7,2,2,2,,10,1,1
"01010301804049","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,49,1,20,5,1,1,5,4,1,2,2,2,7,5,3,3,2,2,2,,10,1,1
"01010301804051","01010301804",1,764.945922851563,1,1,3,8,88,18,4,51,2,0,5,3,1,1,1,1,2,2,6,7,3,3,3,2,2,2,,8,1,2
"01010301804054","01010301804",1,764.945922851563,1,1,3,8,88,18,4,54,1,1,11,2,1,5,1,1,2,2,4,2,3,3,3,2,2,2,,8,1,1
"01010301804069","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,69,1,7,7,1,1,5,4,1,3,2,2,7,5,3,3,2,2,2,,10,1,1
"01010301804085","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,85,1,6,9,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,8,1,1
"01010301804100","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,100,1,29,10,1,2,5,4,1,3,2,8,7,5,3,3,2,2,2,,10,1,1
"01010301804115","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,115,1,15,1,1,1,5,4,1,2,2,8,7,5,3,3,2,2,2,,8,1,1
"01010301804130","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,130,1,26,0,1,1,5,4,1,2,2,8,7,4,7,7,2,2,2,,10,1,1
"01010301804145","01010301804",1,3901.22436523438,1,1,3,8,88,18,4,145,1,21,8,1,1,5,4,1,2,2,8,7,5,7,7,2,2,2,,10,1,1
"01010500204001","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,1,1,3,5,2,1,1,3,1,2,2,8,7,4,9,7,2,2,2,,8,1,1
"01010500204025","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,25,1,15,3,1,3,5,4,1,2,2,8,7,4,9,9,2,2,1,5,8,1,1
"01010500204049","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,49,1,14,5,1,2,5,1,1,2,2,2,7,4,7,7,1,2,1,2,8,1,1
"01010500204073","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,73,1,7,3,1,3,5,1,1,2,2,8,7,4,9,9,2,2,2,,8,1,1
"01010500204097","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,97,2,0,3,3,1,6,1,5,2,2,8,7,4,9,9,2,2,2,,8,1,1
"01010500204121","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,121,1,5,7,2,2,5,1,1,2,2,8,7,4,9,9,2,2,2,,8,1,1
"01010500204142","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,142,1,4,2,1,3,6,1,5,1,2,8,7,4,9,9,2,1,2,,8,1,2
"01010500204145","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,145,2,0,9,3,1,8,1,5,1,1,8,7,4,7,9,2,2,2,,8,1,1
"01010500204169","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,169,2,,8,1,2,6,1,5,1,2,8,7,4,9,9,2,2,2,,8,1,1
"01010500204182","01010500204",1,1950.92431640625,1,1,5,8,88,2,4,182,1,3,4,3,1,6,1,5,1,2,8,7,4,9,9,2,1,2,,8,1,2
"01010500204193","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,193,1,33,10,2,3,5,1,1,1,1,8,2,4,9,9,1,1,2,,8,1,1
"01010500204217","01010500204",1,3071.13232421875,1,1,5,8,88,2,4,217,1,6,7,1,2,5,4,1,2,2,2,7,4,10,7,2,2,1,3,8,1,1
"01010600402002","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,2,1,6,9,1,1,5,3,1,1,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402014","01010600402",1,293.731170654297,1,1,6,8,88,4,2,14,1,20,10,1,1,5,3,1,1,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402021","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,21,1,20,9,1,2,5,1,1,2,2,8,7,4,9,1,2,2,2,,8,1,1
"01010600402039","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,39,1,5,9,1,1,5,3,1,1,2,8,7,4,9,7,2,2,1,2,8,1,1
"01010600402057","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,57,1,25,8,1,1,5,3,1,2,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402075","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,75,1,25,5,1,1,2,3,1,2,2,8,7,4,9,7,2,2,2,,10,1,1
"01010600402094","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,94,1,22,8,1,1,5,4,1,2,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402112","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,112,1,5,8,1,1,5,3,1,2,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402130","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,130,1,25,7,1,1,5,3,1,2,2,8,7,4,9,7,2,2,2,,10,1,1
"01010600402148","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,148,1,20,7,1,2,1,3,1,2,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402160","01010600402",1,293.731170654297,1,1,6,8,88,4,2,160,1,8,8,1,1,1,3,1,1,2,8,7,4,9,7,2,2,2,,8,1,1
"01010600402167","01010600402",1,3720.59497070313,1,1,6,8,88,4,2,167,1,30,10,1,1,1,3,1,1,2,8,7,4,9,7,2,2,2,,8,1,1
"01020100207002","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,2,1,38,5,1,1,5,4,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207012","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,12,1,48,0,1,1,5,4,1,1,2,2,7,3,7,7,2,2,1,1,8,1,1
"01020100207017","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,17,1,13,6,1,2,5,4,1,1,2,2,7,4,7,7,2,2,1,1,10,1,1
"01020100207027","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,27,1,25,5,1,2,5,4,1,2,2,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207032","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,32,1,5,5,1,1,5,4,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207047","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,47,1,6,1,1,2,5,3,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207062","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,62,1,33,5,1,3,5,4,1,2,2,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207077","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,77,1,33,0,2,1,5,4,1,1,2,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207092","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,92,1,30,2,1,3,5,4,1,2,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207107","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,107,1,28,3,1,2,5,1,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207122","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,122,1,16,8,1,2,5,4,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020100207137","01020100207",1,2697.60473632813,1,2,1,8,88,2,7,137,1,5,3,1,1,5,4,1,1,1,2,7,3,7,7,2,2,1,1,10,1,1
"01020200802002","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,2,1,35,0,1,3,5,4,1,3,2,8,7,4,7,7,2,2,1,1,10,1,1
"01020200802017","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,17,1,15,11,2,2,5,4,1,3,2,5,7,2,7,7,2,2,1,1,8,1,1
"01020200802028","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,28,1,5,4,1,1,5,4,1,3,2,8,7,4,7,7,2,2,1,1,10,1,1
"01020200802033","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,33,1,10,8,1,2,5,4,1,2,2,5,7,2,7,7,2,2,1,1,10,1,1
"01020200802048","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,48,1,5,5,1,2,5,4,1,3,3,8,7,4,7,7,2,2,1,1,10,1,1
"01020200802063","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,63,1,20,2,1,2,5,4,1,3,2,5,7,3,7,7,2,2,1,1,10,1,1
"01020200802078","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,78,1,24,1,1,3,5,1,1,3,3,5,7,4,7,7,2,2,1,1,10,1,1
"01020200802108","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,108,1,40,0,1,2,5,4,1,3,2,8,7,4,7,7,2,2,1,1,10,1,1
"01020200802120","01020200802",1,386.241577148438,1,2,2,8,88,8,2,120,1,27,6,1,1,5,4,1,2,2,8,7,4,7,7,2,2,1,1,10,1,1
"01020200802124","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,124,1,6,7,1,1,5,4,1,3,2,5,7,2,7,7,2,2,1,1,10,1,1
"01020200802139","01020200802",1,3456.86206054688,1,2,2,8,88,8,2,139,1,4,0,1,1,5,4,1,2,2,6,7,6,7,7,2,2,1,1,8,1,1
"01020200802180","01020200802",1,386.241577148438,1,2,2,8,88,8,2,180,1,40,7,1,1,5,1,1,3,2,8,7,4,7,7,2,2,1,1,10,1,1
"01020301001002","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,2,1,1,9,1,3,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001017","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,17,1,4,2,2,1,5,3,1,3,2,8,7,4,7,7,2,2,2,,8,1,1
"01020301001032","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,32,1,4,0,1,2,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001047","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,47,1,17,11,1,3,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001062","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,62,1,30,9,1,2,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
"01020301001080","01020301001",1,3416.8232421875,1,2,3,8,88,10,1,80,1,28,0,1,1,5,4,1,3,2,8,7,4,7,7,2,2,2,,10,1,1
