"household_id","ea_id","saq01","rural","pw","adulteq","hh_size","no_conv","no_cons","food_cons_ann","nonfood_cons_ann","educ_cons_ann","total_cons_ann","price_index_hce","nom_totcons_aeq","cons_quint"
"01010101601002","01010101601",1,1,2236.13452148438,6.61999988555908,8,0,0,10816.0004882813,4560,92,15468,1.03400003910065,2336.55590820313,2
"01010101601017","01010101601",1,1,2236.13452148438,5.69999980926514,7,0,0,8034.00048828125,4066,0,12100,1.03400003910065,2122.80712890625,1
"01010101601034","01010101601",1,1,2236.13452148438,0.740000009536743,1,0,0,2652,1874,0,4526,1.03400003910065,6116.21630859375,4
"01010101601049","01010101601",1,1,2236.13452148438,3.11999988555908,4,0,0,8606,2162,88,10856,1.03400003910065,3479.4873046875,3
"01010101601064","01010101601",1,1,2236.13452148438,3.29999995231628,4,0,0,14583.1263673306,3756,108,18447.125,1.03400003910065,5590.0380859375,4
"01010101601080","01010101601",1,1,2236.13452148438,2.88000011444092,4,0,0,11024,1530,86,12640,1.03400003910065,4388.888671875,4
"01010101601087","01010101601",1,1,1887.64611816406,3.82000017166138,5,0,0,7800,902,156,8858,1.03400003910065,2318.84814453125,2
"01010101601101","01010101601",1,1,2236.13452148438,2.92000007629395,4,0,0,9360,1996,0,11356,1.03400003910065,3889.041015625,3
"01010101601116","01010101601",1,1,2236.13452148438,3.46000003814697,4,0,0,6448.00024414063,1518,0,7966,1.03400003910065,2302.31201171875,2
"01010101601131","01010101601",1,1,2236.13452148438,1,1,0,0,3926,739,0,4665,1.03400003910065,4665,4
"01010101601146","01010101601",1,1,2236.13452148438,1.55999994277954,2,0,0,4498,1012,0,5510,1.03400003910065,3532.05151367188,3
"01010101601162","01010101601",1,1,1887.64611816406,1.51999998092651,2,0,0,3577.60000228882,2793,56,6426.60009765625,1.03400003910065,4228.0263671875,4
"01010201403001","01010201403",1,1,2607.7529296875,8.19999980926514,9,0,0,30801.0665283203,4504,260,35565.06640625,1.03400003910065,4337.203125,4
"01010201403011","01010201403",1,1,2607.7529296875,4.23999977111816,5,0,0,93402.8757324219,1015,85,94502.875,1.03400003910065,22288.416015625,5
"01010201403016","01010201403",1,1,2607.7529296875,4.11999988555908,6,0,0,8478.39599609375,2793,80,11351.396484375,1.03400003910065,2755.193359375,2
"01010201403026","01010201403",1,1,2607.7529296875,0.740000009536743,1,0,0,3822,856,0,4678,1.03400003910065,6321.62158203125,5
"01010201403031","01010201403",1,1,2607.7529296875,5.82000017166138,7,0,0,23979.8715820313,4362,400,28741.87109375,1.03400003910065,4938.4658203125,4
"01010201403036","01010201403",1,1,2607.7529296875,6.40000009536743,8,0,0,11099.7001953125,4924,110,16133.7001953125,1.03400003910065,2520.890625,2
"01010201403046","01010201403",1,1,2607.7529296875,9.5,10,0,0,16774.3745117188,10516,383,27673.375,1.03400003910065,2912.98681640625,2
"01010201403061","01010201403",1,1,2607.7529296875,6.77999973297119,7,0,0,19403.6929931641,5455,200,25058.693359375,1.03400003910065,3695.97265625,3
"01010201403091","01010201403",1,1,2607.7529296875,5.84000015258789,8,0,0,17300.8354187012,4553,30,21883.8359375,1.03400003910065,3747.23217773438,3
"01010201403106","01010201403",1,1,2607.7529296875,2.92000007629395,4,0,0,13253.6342773438,2804,0,16057.634765625,1.03400003910065,5499.18994140625,4
"01010201403121","01010201403",1,1,2607.7529296875,6.38000011444092,7,0,0,7125.28910923004,7015,0,14140.2890625,1.03400003910065,2216.34619140625,2
"01010201403136","01010201403",1,1,2607.7529296875,1.36000001430511,2,0,0,4388.5263671875,324,0,4712.5263671875,1.03400003910065,3465.0927734375,3
"01010300106004","01010300106",1,0,768.159851074219,2.55999994277954,3,0,0,11119.0671691895,12698,81,23898.06640625,1.03400003910065,9335.1826171875,5
"01010300106016","01010300106",1,0,768.159851074219,2.14000010490417,3,0,0,14085.7599487305,6660,215,20960.759765625,1.03400003910065,9794.7470703125,5
"01010300106028","01010300106",1,0,768.159851074219,0.800000011920929,1,0,0,7381.54248046875,28843,0,36224.54296875,1.03400003910065,45280.6796875,5
"01010300106040","01010300106",1,0,768.159851074219,2.17000007629395,3,0,0,7930,1804,0,9734,1.03400003910065,4485.71435546875,4
"01010300106052","01010300106",1,0,768.159851074219,3.65999984741211,4,0,0,74780.3333435059,5005,0,79785.3359375,1.03400003910065,21799.2734375,5
"01010300106064","01010300106",1,0,768.159851074219,3.09999990463257,4,0,0,17732,7133,575,25440,1.03400003910065,8206.4521484375,5
"01010300106076","01010300106",1,0,768.159851074219,3.96000003814697,5,0,0,4602,1462,85,6149,1.03400003910065,1552.77770996094,1
"01010300106088","01010300106",1,0,768.159851074219,3.27999997138977,4,0,0,14898,8216,527,23641,1.03400003910065,7207.6220703125,5
"01010300106100","01010300106",1,0,768.159851074219,3.78999996185303,5,0,0,22451,3233,4335,30019,1.03400003910065,7920.58056640625,5
"01010300106112","01010300106",1,0,768.159851074219,2.51999998092651,3,0,0,20072,17163,244,37479,1.03400003910065,14872.619140625,5
"01010300106124","01010300106",1,0,768.159851074219,1.87999987602234,2,0,0,4121,432,0,4553,1.03400003910065,2421.80859375,2
"01010300106136","01010300106",1,0,768.159851074219,7.67999982833862,9,0,0,43920.5,19250,688,63858.5,1.03400003910065,8314.9091796875,5
"01010301804004","01010301804",1,1,3901.22436523438,3,4,0,0,12693.4736328125,429,0,13122.4736328125,1.03400003910065,4374.15771484375,4
"01010301804019","01010301804",1,1,3901.22436523438,3.84000015258789,5,0,0,6349.4736328125,714,20,7083.4736328125,1.03400003910065,1844.65454101563,1
"01010301804034","01010301804",1,1,3901.22436523438,1.77999997138977,2,0,0,4866.25732421875,386,0,5252.25732421875,1.03400003910065,2950.70629882813,2
"01010301804049","01010301804",1,1,3901.22436523438,1.51999998092651,2,0,0,8182.17260742188,634,17,8833.1728515625,1.03400003910065,5811.2978515625,4
"01010301804051","01010301804",1,1,764.945922851563,1.83999991416931,2,0,0,4836,3717,0,8553,1.03400003910065,4648.36962890625,4
"01010301804054","01010301804",1,1,764.945922851563,0.800000011920929,1,0,0,2860,1722,0,4582,1.03400003910065,5727.5,4
"01010301804069","01010301804",1,1,3901.22436523438,2.14000010490417,3,0,0,10331.5242919922,884,0,11215.5244140625,1.03400003910065,5240.89892578125,4
"01010301804085","01010301804",1,1,3901.22436523438,3.61999988555908,5,0,0,13900.2984619141,1088,25,15013.298828125,1.03400003910065,4147.3203125,3
"01010301804100","01010301804",1,1,3901.22436523438,3.75999999046326,4,0,0,11728.052734375,310,0,12038.052734375,1.03400003910065,3201.60986328125,3
"01010301804115","01010301804",1,1,3901.22436523438,4.6399998664856,6,0,0,17009.4736328125,1049,102,18160.47265625,1.03400003910065,3913.89501953125,3
"01010301804130","01010301804",1,1,3901.22436523438,6.90000009536743,9,0,0,13188.8422851563,1704,97,14989.841796875,1.03400003910065,2172.44091796875,1
"01010301804145","01010301804",1,1,3901.22436523438,6.65999984741211,8,0,0,13641.6374511719,1132,148,14921.6376953125,1.03400003910065,2240.48608398438,2
"01010500204001","01010500204",1,1,3071.13232421875,2.38000011444092,3,0,0,2262.00003051758,2286,0,4548,1.03400003910065,1910.92431640625,1
"01010500204025","01010500204",1,1,3071.13232421875,6.51999998092651,8,0,0,16203.2000007629,4085,100,20388.19921875,1.03400003910065,3127.0244140625,3
"01010500204049","01010500204",1,1,3071.13232421875,5.11999988555908,6,0,0,12220.0004882813,1272,104,13596,1.03400003910065,2655.46875,2
"01010500204073","01010500204",1,1,3071.13232421875,3,4,0,0,10987.5999755859,2800,0,13787.599609375,1.03400003910065,4595.86669921875,4
"01010500204097","01010500204",1,1,3071.13232421875,3,4,0,0,19084,2560,0,21644,1.03400003910065,7214.66650390625,5
"01010500204121","01010500204",1,1,3071.13232421875,1.79999995231628,2,0,0,9256,2064,0,11320,1.03400003910065,6288.88916015625,5
"01010500204142","01010500204",1,1,1950.92431640625,2.92000007629395,4,0,0,23972,10918,0,34890,1.03400003910065,11948.6298828125,5
